Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Appleby,Kaye Marie ",BA U of Guelph; MBA Western ,Education - Continuing Educ ,,Lecturer ,
"Aragon,Cecilia E ",DDS PER ,Dentistry ,,Adjunct Clinical Professor ,
"Arango,Miguel ",MD at COLOMBIA ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Arany,Edith ",Ph.D. U of Buenos Aires Argentina ,Department of Medicine ,,Adjunct Research Professor ,
"Archibald,Lisa M.D. ",BSc Brock; M.H.Sc Toronto; Ph.D. Durham UK ,Communicative Sci & Disorders ,Psychology ,Assistant Professor ,
"Archibald,T Ross ","FCA Ontario, Ph.D. USA ",Business - Associate Dean ,,Professor Emeritus ,
"Ardiel,Donald Lorne ",BA Waterloo; MBA Western ,Civil & Environmental ,,Lecturer ,
"Arellano,Luis-Ramiro Jose ",MD Western; MS Univ of Toronto ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Argall,Philip S ","BSC, Ph.D. Adelaide, AUS ",Physics and Astronomy ,,Assistant Professor ,
"Argentino,Joe R. ","Bmus, Univ of Toronto; Ph.D. Western ",Music - Research & Composition ,,Assistant Professor ,
"Ari,Nilgun ","DDS Turkey Tansel College; MS Yditepe Univ, Turkey ",Dental Clinics ,,Adjunct Clinical Professor ,
"Ari,Timucin ","DDS, Ph.D. Marmara U Turkey ",Dentistry ,,Assistant Professor ,
"Arku,Godwin ","BA Ghana, MA Univ of Toronto, Ph.D. McMaster ",Geography ,,Assistant Professor ,
"Armaly,Violette ","Bachelors, Masters CANADA ",Education - Continuing Educ ,,Lecturer ,
"Armstrong,Christopher Edward ",FRCP MD at OTTAWA ,Pathology ,,Associate Professor/MD ,
"Armstrong,David T ","BSA Toronto; MSc, Ph.D. Cornell ",Obstetrics & Gynaecology ,,Professor Emeritus ,
"Armstrong,Jerrold E ",BSc Trent; DDS Toronto; MRCD(C) ; MSc Dalhousie; ,Dentistry ,,Associate Professor ,Graduate Chair 
