Name,Degrees,Department,Department2,Rank,AdministrativePosition
"King,Graham J ",FRCSCan MSc at CALGARY ; BSc MD at UBC ,Medical Biophysics/Surgery ,,Professor ,
"King,H James ",FRCSCan BA MD at Western ,Obstetrics & Gynaecology ,,Professor Emeritus ,
"King,James F ","BSc, Ph.D. New Brunswick; ",Chemistry ,,Professor Emeritus ,
"King,James R ",,Physical Therapy ,,Assistant Professor ,
"King,Michael Robert ",BACS Queen's; Ph.D. London School of Economic GBR ,Business - Associate Dean ,,Associate Professor ,
"King,Peter C ",BA Western ,Civil & Environmental ,,Adjunct Research Professor ,
"King,Philip T ",BA/MA Ontario ,Bachelor of Mgmt & Org Studies ,,Lecturer ,
"King,Philip T ",BA/MA Ontario ,Law - Office of the Dean ,,Lecturer ,
"King,Rebecca ","BS, MD Memorial Univ, NL ",Psychiatry ,,Assistant Professor/MD ,
"King,Rhonda Louise ",BA Ontario ,Education - Preservice Office ,,Lecturer ,
"King,Roger H ",BSc Wales; MSc Aberdeen; Ph.D. Saskatchewan; ,Geography ,,Professor Emeritus ,
"Kingsbury,Brett ",BMUS UBC ,Music - Performance Studies ,,Assistant Professor ,
"Kinsella,Elizabeth Anne ","BSc(OT) Toronto, MA Ed. St. Fx; Ph.D.. ",Education - Office of the Dean ,,Assistant Professor ,
"Kinsella,Elizabeth Anne ","BSc(OT) Toronto, MA Ed. St. Fx; Ph.D.. ",Occupational Therapy ,,Associate Professor ,
"Kinsella,Elizabeth Anne ","BSc(OT) Toronto, MA Ed. St. Fx; Ph.D.. ",Womens' Studies ,,Associate Professor ,
"Kintanar,Carmelita ",MD at CEBU ,Paediatrics ,,Adjunct/MD ,
"Kinton,Leslie ","BA, MA Univ of Toronto ",Music - Office of the Dean ,,Assistant Professor ,
"Kirby,Joanne ",MD CCFP FRCSCan at TORONTO ,Obstetrics & Gynaecology ,,Assistant Professor/MD ,
"Kiriushcheva,Natalia ","Masters, UKR ",Applied Mathematics ,,Assistant Professor ,
"Kirk,Mary Ellen ",MD Western; FRCP ,Pathology ,,Professor Emerita ,
"Kirkpatrick,Lori ","BSc., Univ of Toronto; M.Ed., Western; Ph.D., Western ",Education - Preservice Office ,,Lecturer ,
"Kirkwood,Kenneth William ","BAH, MA Queen's; Ph.D. Western; P. Eng. ",School of Health Studies ,,Assistant Professor ,
"Kirsh,David Robert ","BS, MS, Queen's Univ ",Physics and Astronomy ,,Lecturer ,
"Kizilbash,Kamran ",MBBS U of Karachi Pakistan ,Psychiatry ,,Assistant Professor/MD ,
"Klar,Neil Steven ",BSc MSc at MCGILL ; Ph.D. at Western ; MMath at WATERLOO ,Epidemiology and Biostatistics ,,Associate Professor ,
"Klassen,Neil ","BFA, Ontario College of Art & Design; MFA, Western ",Visual Arts ,,Lecturer ,
"Klassen,Robert David ",BA Waterloo; MBA Western; Ph.D. N. Carolina; ,Business - Associate Dean ,,Professor ,
"Klassen,Robert David ",BA Waterloo; MBA Western; Ph.D. N. Carolina; ,Program in Environmental Sci ,,Professor ,
"Klassen,Robert Jay ","BSc, MSc Manitoba; Ph.D. Toronto; P.Eng. ",Mechanical & Materials ,,Associate Professor ,Associate Chair 
"Klein,George J ",FRCPCan MD at TORONTO ,Department of Medicine ,,Professor/MD ,
"Klein,Klara Pearl ",CCFP MD at TORONTO ,Family Medicine - General ,,Adjunct/MD ,
"Klein,Perry D ","BEd, BSc, Ph.D. Toronto; MA York; ",Education - Office of the Dean ,,Associate Professor ,
"Kligman,David H. ",Professiona; Bacehlors Canada ,Psychiatry ,,Adjunct/MD ,
"Klimchuk,Dennis ","BA, MA Manitoba; Ph.D. Toronto; ",Philosophy ,,Associate Professor ,
"Kline,Robert L ",BS Temple; Ph.D. Pittsburgh ,Physiology and Pharmacology ,,Professor Emeritus ,
"Klinger,Lea Elisabeth ","BSc(OT), MSc ; ",Occupational Therapy ,,Lecturer ,
"Kloseck,Marita Hedwig ",BAA Central Michigan; MSc Oklahoma State U; Ph.D. Waterloo; ,Department of Medicine ,,Associate Professor ,
"Kloseck,Marita Hedwig ",BAA Central Michigan; MSc Oklahoma State U; Ph.D. Waterloo; ,School of Health Studies ,,Associate Professor ,School Director 
"Knabe,Susan M. ","BSc Laurier; BA, MA Trent; Ph.D. Macquarie; ",Info & Media Studies - General ,,Assistant Professor ,
"Knabe,Susan M. ","BSc Laurier; BA, MA Trent; Ph.D. Macquarie; ",Womens' Studies ,,Assistant Professor ,
"Kneale,Douglas ",Ph.D. Univ of Torontooronto ,English ,,Professor Emeritus ,
"Knelman,Judith ","BA Manitoba, Ph.D. Ontario ",Info & Media Studies - General ,,Professor Emerita ,
"Knight,John ","BComm, MComm, Ph.D. New South Wales; ",Economics ,,Professor ,
"Knight,Russell M. ","BA Quebec, Ph.D. USA ",Business - Associate Dean ,,Professor Emeritus ,
"Knoch,Christopher J ","Bachelors, ON ",Education - Continuing Educ ,,Lecturer ,
"Knoll,Joan Helen Mary ","BS, Ph.D., Western ",Pathology ,,Professor ,
"Knopf,George K ","BA, BEng, MSc, Ph.D. Saskatchewan; P.Eng. ",Mechanical & Materials ,,Professor ,
"Knoppert,David Cornelius ",BEd MSc at TORONTO ; BS at Western ,Department of Medicine/Paediatrics ,,Adjunct Assistant Professor ,
"Ko,Christina Mo King ",Masters Western ,Nursing ,,Lecturer ,
"Kocha,Walter Ilarion ","BSc, MD Western ",Oncology ,,Assistant Professor/MD ,
"Kogon,Stanley L ",DDS Toronto; MSc ,Dentistry ,,Professor ,
"Kohalmi,Susanne E. ",DIPLOM J.-W. Goethe; Ph.D. Manitoba; ,Department of Biology ,,Associate Professor ,
"Kohler,Stefan ",DIPLOM Universitat Bielefeld; Ph.D. Toronto; ,Psychology ,,Associate Professor ,
"Kohr,Rosemary ","BA, MA Ontario, Doctoral Degree U of Alberta ",Nursing ,,Associate Professor ,
"Kohut-Gowan,Laura Katherine ","BSN, Western, RN Lambton College ",Nursing ,,Lecturer ,
"Koka,Hanumantha R ",FRCPCan MBBS at GULBARGA ,Psychiatry - Ext Camp Program ,,Assistant Prof/Clinical MD ,
"Kolahdouz Esfahani,Soheila ","BA, Univ of Waterloo; MFA, Western ",Visual Arts ,,Lecturer ,
"Kolano,Lori Lynette ",MD at Western ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Kolator,Dave Peter ","BSc, DDS ",Dental Clinics ,,Adjunct Clinical Professor ,
"Kolbasnik,Alex ",BSc MSc MD at MCMASTER ,Family Medicine - General ,,Adjunct/MD ,
"Kolkman,Wilbert ","MLS, Ph.D. Univ of Groningen, NLD ",Law - Office of the Dean ,,Professor ,
"Komer,William Joseph ",FRCPCan MD at Western ; BMath at WATERLOO ,Psychiatry ,,Assistant Professor/MD ,
"Komorowski,Laurie A ",BSc King's Univ College AB; MD U of Alberta ,Family Medicine - General ,,Adjunct/MD ,
"Konermann,Lars ","BSc, MSc Tubingen; Ph.D. Dusseldorf; ",Biochemistry ,,Professor ,
"Konermann,Lars ","BSc, MSc Tubingen; Ph.D. Dusseldorf; ",Chemistry ,,Professor ,
"Konrad,Alison M ","BA Monmouth College; MA, Ph.D. Claremont Graduate School; ",Business - Associate Dean ,,Professor ,
"Koo,Karen Kin-Yue ",BS Univ of Torontooronto; MD McMaster U ,Department of Medicine ,,Assistant Professor/MD ,
"Koopman,Wilma Johanna ","BA, Ph.D. Ontario ",Nursing ,,Lecturer ,
"Kopechanski,Lauren Astrid ","BHS, McMaster Univ; MD, Western ",Family Medicine - General ,,Adjunct/MD ,
"Kopp,Gregory A ",BSc Manitoba; MSc McMaster; Ph.D. Toronto; P.Eng. ,Civil & Environmental ,,Professor ,
"Kopp,Steven James ","BA, MA Western ",Statistics & Actuarial Science ,,Lecturer ,
"Koppula,Suhda ","BS, MD U of Alberta ",Family Medicine - General ,,Adjunct/MD ,
"Koprowski,Peter ","ARTIST'S DIPLOMA State Academy of Music, Lodz; DMUS Toronto; MA Krakow; ",Music - Office of the Dean ,,Professor ,
"Koren,Gideon ",MD at TEL-AVIV ,Department of Medicine/Paediatrics/Physiology and Pharma ,,cProfessor/MD ,
"Kornecki,Alik ",MD at MILANO ,Paediatrics ,,Associate Professor/MD ,
"Kornecki,Anat ",MD at TEL-AVIV ,Department of Medical Imaging ,,Associate Professor/MD ,
"Koropatnick,D James ",BSc MSc Ph.D. at UBC ,Microbiology & Immunology/Oncology/Pathology/Physiology ,,Professor ,
"Kortas,Claude ",FRCPCan MD at IULIU HATIEG ,Department of Medicine ,,Professor/MD ,
"Koscinski,Daria ","BS, MS Queen's Univ; Ph.D. Western ",Department of Biology ,,Assistant Professor ,
"Kossovskiy,Ilya ",Masters Ukraine ,Mathematics ,,Assistant Professor ,
"Kostal,Rande W ",LLB Western; OF THE LAW SOCIETY OF UPPER CANADA ; MA McMaster; Ph.D. Oxford; ,Business - Associate Dean ,,Associate Professor ,
"Kostal,Rande W ",LLB Western; OF THE LAW SOCIETY OF UPPER CANADA ; MA McMaster; Ph.D. Oxford; ,Law - Office of the Dean ,,Professor ,
"Kostuk,William J ",MD; FRCPCan ,Department of Medicine ,,Professor Emeritus ,
"Kothari,Anita ","BSc, MHSc Toronto; Ph.D. McMaster; ",Epidemiology and Biostatistics ,,Associate Professor ,
"Kothari,Anita ","BSc, MHSc Toronto; Ph.D. McMaster; ",School of Health Studies ,,Associate Professor ,
"Kotin,Svetlana ","MD State Medical Univ., BLR ",Psychiatry ,,Assistant Professor/MD ,
"Kotsopoulos,Donna ",BA Ontario ,Education - Office of the Dean ,,Adjunct Research Professor ,
"Kovacs,John Michael ","BSc Queen's, Ph.D. Western ",Geography ,,Adjunct Research Professor ,
"Kovacs,Michael Joseph ",FRCPCan MD at Western ,Department of Medicine/oncology ,,Professor/MD ,
"Kovacs,Michael S ",BSc at MCMASTER ; Ph.D. at UBC ,Department of Medical Imaging/Medical Biophysics ,,Assistant Professor ,
"Kovacs,Paul Julias Egerally ","BA, MART Western ",Economics ,,Adjunct Research Professor ,
"Koval,John Joseph ",MPhil at IMPERIAL COL ; Ph.D. at Western ; BMath MMath at WATERLOO ,Epidemiology and Biostatistics ,,Professor ,
"Koval,Susan F ",Ph.D. at LONDON ; MSc at Western ; BSc at WATERLOO ,Microbiology & Immunology ,,Associate Professor ,
"Kowalchuk,John M ","BSc, MSc Waterloo; Ph.D. McMaster; ",Kinesiology - General ,,Professor ,
"Kowalchuk,John M ","BSc, MSc Waterloo; Ph.D. McMaster; ",Physiology and Pharmacology ,,Professor ,
"Kozak,Roman Iwan ",FRCPCan MB MBBS at LONDON ,Diagnost Radiol & Nuclear Med ,,Associate Professor/MD ,
"Koziol,Natasha ",BSc Western; Ph.D. Erasmus NLD ,Info & Media Studies - General ,,Assistant Professor ,
"Kraatz,Heinz-Bernhard ","BSc U Dusseldorf Germany, Ph.D. U of Calgary ",Chemistry ,,Adjunct Research Professor ,
"Krahn,Andrew D ",FRCPCan FRCPCan MD at MANITOBA ,Department of Medicine ,,Adjunct Research Professor ,
"Krahn,Mary-Anne ","BSN, MSN, Western ",Nursing ,,Adjunct Assistant Professor ,
"Krajnyk,Irene Sandy ","BA Quebec, MA Western ",Department of Biology ,,Lecturer ,
"Kramer,John F ",BSc(PT) Guelph; MA(PT) Stanford; Ph.D. Alberta; ,Physical Therapy ,,Professor Emeritus ,
"Kras-Dupuis,Anna ","BSN, MSN Western ",Nursing ,,Adjunct Assistant Professor ,
"Krasinski,Joasia A ",BSN Queen's Univ ,Nursing ,,Lecturer ,
"Krats,Peter Vaino Karl ","BA Guelph; MA, Ph.D. Western ",History ,,Assistant Professor ,
"Krause-Wiebe,Anita ",BMus SCal; MMus Wheaton ,Music - Performance Studies ,,Lecturer ,
"Kreiswirth,Martin ",BA Ham Coll; MA Chicago; Ph.D. Toronto; ,English ,,Professor Emeritus ,
"Kremenchutzky,Marcelo Carlos ",MD at BUENOS AIRES ,Clinical Neurological Science ,,Associate Professor/MD ,
"Krepski,Derek ",Ph.D. Univ of Toronto ,Mathematics ,,Assistant Professor ,
"Kreyman,Konstantin ","Masters, Ph.D. Russia ",Electrical & Computer ,,Lecturer ,
"Kribs,Stewart Wayne ",FRCPCan MD at Western ,Diagnost Radiol & Nuclear Med/Surgery ,,Associate Professor/MD ,
"Krigolson,Olave ","BEd., Ph.D., Univ of Victoria ",Kinesiology-Office of Director ,,Adjunct Assistant Professor ,
"Krishna,Popuri M ",MBBS at KURNOOL ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,
"Krishna,Priti ","Degree India, Ph.D. U of Calgary ",Department of Biology ,,Professor ,
"Krishnamoorthy,Srinivas ","B. Tech, MBA, Indian; M. Phil, Ph.D., Columbia; ",Business - Associate Dean ,,Assistant Professor ,
"Krougly,Zinovi ",Bachelors Belarus; Ph.D. Russian Federation ,Applied Mathematics/Statistics & Actuarial Sci ,,Assistant Professor ,Dean 
"Krouskos,Kendrah Michelle ","Masters, Ph.D. Russia ",Nursing ,,Lecturer ,
"Krunic,Tanja ",BSN Western ,Nursing ,,Lecturer ,
"Krupka,Richard ","Bachelors, Ph.D. Canada ",Biochemistry ,,Lecturer ,
"Kubica,Robert ","BMUS, MMUS ; ",Music - Performance Studies/Music - Education ,,Lecturer ,
"Kuboki,Takashi ","BS Meiji Univ, JPN; Ph.D. Kyushu Univ, Fukuoka, JPN ",Mechanical & Materials ,,Assistant Professor ,
"Kucerovsky,Zdenek ","BA, Ph.D. Czech Republic ",Electrical & Computer ,,Adjunct Research Professor/Professor Emeritus ,
"Kudar,Randolph Parris ","BEng(Chem) RMC; CMA Ontario; MBA, Ph.D. Western; ",Business - Associate Dean ,,Professor Emeritus ,
"Kuiper,Nicholas Ahlrich ","BA ; MSc, Ph.D. Calgary; ",Psychology ,,Professor ,
"Kulkarni,Swati ",MBBS Gandhi Medical College IND ,Oncology/Schulich - Education Office ,,Adjunct/MD ,
"Kulon,Sandra Brooke ",MSC Western ,Geography ,,Lecturer ,
"Kulperger,Reginald J ",Ph.D. Carleton ,Statistics & Actuarial Science ,,Professor ,
"Kumar,Rajender ",BSc at DELHI ; MBBS at POONA ,Psychiatry - Ext Camp Program ,,Assistant Prof/Clinical MD ,
"Kunsch,David William ",MSC Western ,Business - Associate Dean ,,Lecturer ,
"Kuppers,Bryan Ulrich ","BS, Western ",Graduate Orthodontics ,,Adjunct Clinical Professor ,
"Kurepin,Leonid ","BSc., Tel-Aviv Univ; Ph.D. univ of Calgary ",Department of Biology ,,Assistant Professor ,
"Kurita,Janice Amy ","BS, Univ of Toronto; Ph.D., Univ of Alberta ",Education - Graduate Education ,,Assistant Professor ,
"Kurowski,Pawel M. ","MSc, Ph.D. Warsaw; P.Eng. ",Mechanical & Materials ,,Assistant Professor ,
"Kuruvilla,Sara ","MBBS, Medical College of Trivandrum, IND ",Oncology ,,Assistant Professor/MD ,
"Kutt,Judith L ",FRCPCan MD at Western ,Anesthesia-Perioperative Med ,,Professor Emerita ,
"Kwan,Keith ",MD at ALBERTA ; FRCPath at Queen's ,Pathology ,,Associate Professor/MD ,
"Kyle,Peter Gerald ",DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,
"Kymlicka,Bohuslav ","BA British Columbia; MA, Ph.D. Columbia; ",Political Science ,,Professor Emeritus ,
"La Porta,John ","Professional OACCPP, CHE Windsor and Walden Univ ",Communicative Sci & Disorders ,,Adjunct Clinical Professor ,
"La Porta,John ","Professional OACCPP, CHE Windsor and Walden Univ ",Education - Office of the Dean ,,Adjunct Assistant Professor ,
"La Rose,Louise Anne-Marie ",BA at MCGILL ; Ph.D. at Western ,Education - Graduate Education ,,Assistant Professor ,
"La Rose,Louise Anne-Marie ",BA at MCGILL ; Ph.D. at Western ,Psychiatry ,,Adjunct Assistant Professor ,
"La Rose,Louise Anne-Marie ",BA at MCGILL ; Ph.D. at Western ,Psychology ,,Adjunct Clinical Professor ,
"La Rose,Marianne ","Bachelors, Masters, ON ",Education - Continuing Educ ,,Lecturer ,
"La Rose,Robert Alexander ","BA, EDD, MA Toronto; ",Kinesiology - General ,,Assistant Professor ,
"LaBranche,Rachelle S ",BA MD at CALGARY ,Family Medicine - General ,,Adjunct/MD ,
"Lacefield,James C. ","BSE, PhD, Duke; P.Eng. ",Electrical & Computer ,,Associate Professor ,
"Lacefield,James C. ","BSE, Ph.D., Duke; P.Eng. ",Medical Biophysics ,,Associate Professor ,
"Lacerte,Michel ",Professional Canada ,Physical Medicine and Rehab ,,Associate Professor/MD ,
"Lachance,Marc-Andre ","BA, BSc Montreal; MSc McGill; Ph.D. California; The University of Western Ontario Excellence in Teaching Award (1987) ; ",Department of Biology ,,Professor ,
"Lackenbauer,Sandra ","BA, Univ of Waterloo; MA, Western; Ph.D., Western ",Psychology ,,Lecturer ,
"Lacombe,Gabriel ",DDS DDS at MONTREAL ; MSc MSc at TORONTO ,Dentistry ,,Assistant Professor ,
"Lacroix,Tom ",MD at MCGILL ,Paediatrics/Schulich - Education Office ,,Assistant Professor/MD ,
"Ladak,Hanif M. ","BASC, Toronto; MEng, Ph.D., McGill; P.Eng. ",Electrical & Computer ,,Associate Professor ,
"Ladak,Hanif M. ","BASC, Toronto; MEng, Ph.D., McGill; P.Eng. ",National Centre for Audiology ,,Associate Professor ,
"Ladak,Hanif M. ","BASC, Toronto; MEng, Ph.D., McGill; P.Eng. ",Otolaryngology/Medical Biophysics ,,Associate Professor ,
"Laforet-Fliesser,Yvette ",MA Ontario ,Nursing ,,Associate Professor ,
"Lagerlund,Henrik ","BA, MA, Ph.D. Uppsala; ",Philosophy ,,Associate Professor ,Department Chair 
"Lagugne-Labarthet,Francois ","BSc Bordeaux France, Ph.D. Bordeaux France ",Chemistry/Physics and Astronomy/Nanofabric ,,Associate Professor ,
"Lai,Xiulan ","BS, Inner Mongolia Univ, CHN; MS U of Science and Tech, CHN ",Applied Mathematics ,,Lecturer ,
"Laidlaw,D George ","BMUS, MMU, Western ",Music - Performance Studies/Music - Education ,,Lecturer ,
"Laidlaw,Karen Anne ","BMus, BEd; ",Nursing ,,Lecturer ,
"Laidler,David Ernest William ",BSc London; MA Syracuse; Ph.D. Chicago; FRSC ; ,Economics ,,Professor Emeritus ,
"Lail,Harbinder (Bob) ",DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,
"Laine,Colin ",EDD British Columbia; LCP(EDUC) College of Praeceptors (London); MA Simon Fraser ,Education - Office of the Dean ,,Professor Emeritus ,
"Laird,Dale W ",MSc Ph.D. at UBC ,Anatomy & Cell Biology/Physiology and Pharmacology ,,Professor ,
"Lajoie,Gilles ",Ph.D. at MCGILL ; BA BSc at SHERBROOKE ,Paediatrics/Biochemistry ,,Professor ,
"Lake,Robert ",DDS DDS at MONTREAL ; MSc MSc at TORONTO ,Womens' Studies ,,Assistant Professor ,
"Lala,Peeyush K ","Ph.D., MD, MBBS, U of Calcutta INDIA ",Anatomy & Cell Biology/Oncology ,,Professor Emeritus ,
"Lamarche,Jacques ","BA, MA, Ph.D. UQUAM; ",French Studies ,,Associate Professor ,
"Lamari,David N. ","BA Vermont, MA Illinois ",Classical Studies ,,Lecturer ,
"Lamb,Michael John ","LLB, OF THE LAW SOCIETY OF UPPER CANADA ; ",Law - Office of the Dean ,,Lecturer ,
"Lamberts,Bridget Evelyn ",MS UBC; DDS Univ of Torontooronto ,Dental Clinics ,,Adjunct Clinical Professor ,
"Lamesse,Anne Alice ","BSN, Newcastle, AUS ",Nursing ,,Adjunct Assistant Professor ,
"Lamoure,Joel W. ",BS (Pharmacy) Univ of Toronto ,Psychiatry ,,Adjunct Associate Professor ,
"Lampe,Howard Brandon ",FRCSCan MD at Western ,Otolaryngology ,,Professor Emeritus ,
"Lampe,Kathleen Mary Dundon ",FRCPCan MD at Western ,Anesthesia-Perioperative Med ,,Professor Emeritus ,
"Landis,Mark Stanley ","BS, McMaster Univ; MD Univ of Toronto ",Department of Medical Imaging ,,Assistant Professor/MD ,
"Landry,Tamara Marjorie May ","BA, Western; MHS Univ of Windsor ",School of Health Studies ,,Lecturer ,
"Landstreet,John D ",Ph.D. Columbia USA ,Physics and Astronomy ,,Adjunct Research Professor/Professor Emeritus ,
"Lane,Henry William ",BA/Ph.D. USA ,Business - Associate Dean ,,Professor Emeritus ,
"Lanfranconi,Claude Peter ","BA Quebec, Ph.D. Ontario ",Business - Associate Dean ,,Professor Emeritus ,
"Langan,Lawrence Gerard ",BA Western; MFA Concordia; ,Education - Continuing Educ ,,Lecturer ,
"Langer,Pearl S ",MD MD at CALGARY ; BS at MCGILL ,Family Medicine - General ,,Adjunct/MD ,
"Langford,Sarah Elizabeth ",BA Western ,Kinesiology-Office of Director ,,Lecturer ,
"Lanius,Ruth ",BSc Ph.D. MD at UBC ; FRCP at Western ,Psychiatry ,,Professor/MD ,
"Lannigan,Robert ",FRCPCan FRCP MDCM at MCGILL ,Pathology ,,Professor/MD ,
"Lanthier,Nicole J. ",MA at MINNESOTA ; BA at WINNIPEG ,Otolaryngology ,,Lecturer ,
"Lanting,Brent ","B.E.Sc., Western; MD, Western ",Surgery ,,Assistant Professor/MD ,
"Lapointe,Henry J ",DDS ; DIP OMSTA Toronto; ,Dentistry ,,Professor ,
"Laporte,Noel ",MA at BOSTON ; BMus at REGINA ; MD at SASKATCHEWAN ,Psychiatry ,,Assistant Professor/MD ,
"Larkin,Sherrie N Noreen ","BA, MA Western; Ph.D. McMaster; ",Anthropology ,,Assistant Professor ,
"Larocque,Brian Joseph ",FRCPCan BSc MD at Western ,Department of Medicine ,,Associate Professor/MD ,
"Larsen,Marianne A. ","BA Toronto, BEd Mount St Allison, MA, Ph.D. London England ",Education - Office of the Dean ,,Associate Professor ,
"Laschinger,Heather ","BN, RegN New Brunswick; MEd, Ph.D. Ottawa; ",Nursing ,,Professor ,
"Laschuk,Bohdan Stephan ",BSc MD at Western ,Surgery/Schulich - Education Office ,,Adjunct/MD ,
"Lasmanis,Peter ",BA Waterloo Lutheran; BEd ; MA Wilfrid Laurier; MEd Toronto; ,Education - Preservice Office ,,Lecturer ,
"Latosinsky,Steven ",BEng/MD Western ,Surgery ,,Associate Professor/MD ,
"Lattimer,Derek ","BA, BE Ontario ",Mechanical & Materials ,,Lecturer ,
"Lau,Leo Woon Ming ",BSc Chinese University of Hong Kong; Ph.D. UBC; EMBA Chemistry ,Chemistry/Surface Science ,,Adjunct Research Professor ,
"Laurent,Katrina Lynn ","Ph.D., Western ",Department of Biology ,,Assistant Professor ,
"Lausch,Anne ",Diplom Heidelberg ,Modern Languages & Literatures ,,Lecturer ,
"Lavi,Ronit ",BSc/MD Technion-Israel Inst Tech ISRAEL ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,
"Lavi,Shahar ",BSc/MD Technion-Israel Inst Tech ISRAEL ,Department of Medicine ,,Assistant Professor/MD ,
"Laviolette,Steven R ",BSc Ph.D. at TORONTO ,Anatomy & Cell Biology/Psychiatry ,,Associate Professor ,
"Law,Barbara ","BA, McMaster Univ; Ph.D., Western ",Education - Office of the Dean ,,Adjunct Research Professor ,
"Lawendy,Abdel-Rahman ",BS U of Waterloo; MD Western ,Surgery ,,Assistant Professor/MD ,
"Lawless,Katherine Beverly ",RN at Western ,Womens' Studies ,,Lecturer ,
"Lawrence-Murphy,Julie Ann ","BSN, MSN Western ",Nursing ,,Adjunct Assistant Professor ,
"Lawson-Hellu,Late B. ",BA Nye_konakpoe_; MA Be_nin; Ph.D. Ottawa; ,French Studies ,,Associate Professor ,
"Lawson,Brian Patrick ","BA. And Ph.D., Western ",Philosophy ,,Assistant Professor ,
"Lawson,Erica S ","BA Carleton; MA, Ph.D. OISE; ",Womens' Studies ,,Assistant Professor ,
"Lazarovits,George ","BA, Ph.D. Ontario ",Department of Biology ,,Adjunct Research Professor ,
"Lazo-Langner,Alejandro ",MD at MEXICO ; MSc at OTTAWA ,Department of Medicine/Epidemiology and Biostatistics/Onc ,,oAssistant Professor/MD ,
"Lazosky,Andrea ",Ph.D. at CHICAGO ; BSc at UBC ,Clinical Neurological Science/Psychiatry ,,Adjunct Clinical Professor ,Dean 
"Lazosky,Andrea ",Ph.D. at CHICAGO ; BSc at UBC ,Psychology ,,Adjunct Clinical Professor ,
"Le Ber,Marlene Janzen ","B.Sc.N., Western; M.Sc.N., Western; Ph.D., Western ",Epidemiology and Biostatistics/Schulich-IDI-PublicHealthTran ,,Assistant Professor ,
"Le Ber,Marlene Janzen ","B.Sc.N., Western; M.Sc.N., Western; Ph.D., Western ",School of Health Studies ,,Assistant Professor ,
"Le Clair,John Kenneth ","Bachelor, Professional Ontario ",Psychiatry ,,Adjunct/MD ,
"Le Riche,Nicole Georgina Harding ",FRCPCan FRCPCan BSc MD at Queen's ,Department of Medicine ,,Associate Professor/MD ,
"Le Saux,Liliane M F ","Professional, Queen's Univ ",Dentistry ,,Adjunct Clinical Professor ,
"Lea,Peter ","BMUS, MMUS Brandon U Manitoba ",Music - Research & Composition ,,Lecturer ,
"Leach,Sandra Lee ","BMUS, MMUS Brandon U Manitoba ",Nursing ,,Lecturer ,
"Leasa,David John ",FRCPCan BSc MD at Western ,Department of Medicine ,,Professor/MD ,
"Leask,Andrew ",Ph.D. at CHICAGO ; BSc at UBC ,Physiology and Pharmacology/Dentistry ,,Associate Professor ,
"Leavens,Sarah ",Certificate-Other Professional ON ,Kinesiology-Office of Director ,,Lecturer ,
"Leavey,Joann ","R.N., B.A.A.N., M.Ed., EdD ",Psychiatry ,,Adjunct Assistant Professor ,
"Lebel,Katie ","BA., St. John's Univ; MART, Western ",Kinesiology-Office of Director ,,Lecturer ,
"LeBel,Marie-Eve ",FRCPCan MD at LAVAL ,Surgery ,,Assistant Professor/MD ,
"Leboldus,Gordon M ",FRCSCan MD at Western ,Otolaryngology ,,Professor Emeritus ,
"Lebrun,Constance M ","BA BC, Professional QC ",Kinesiology-Office of Director ,,Adjunct Research Professor ,
"Leckie,Gloria J ","BA Windsor; MA, MLS, Ph.D. Western; ",Info & Media Studies - General ,,Professor Emeritus ,
"Leclerc,Jean ","BA, MA UQTR; Ph.D. UQAM/Paris Sorbonne ",French Studies ,,Associate Professor ,
"Ledderhof,Nicholas ","BSc., Acadia Univ; DDS, Western ",Dentistry ,,Adjunct Clinical Professor ,
"Leddy,Susanne Catherine ","Certificate-Other Professional Western, BS (Nursing) U of Windsor ",Nursing ,,Lecturer ,
"Leduc,Raymond William ","HBA, MBA, CGA; ",Bachelor of Mgmt & Org Studies ,,Lecturer ,
"Lee-Poy,Michael F ",BSc at TORONTO ; Ph.D. at Western ,Family Medicine - General ,,Adjunct/MD ,
"Lee,Alison M ","BA, MA, Ph.D. McMaster; ",English ,,Associate Professor ,
"Lee,Betty Huey-Quen ","BS, MD Western ",Family Medicine - General ,,Adjunct/MD ,
"Lee,Caroline Stephanie ","BSN, Western ",Nursing ,,Lecturer ,
"Lee,Christopher ","BA/MA USA, MA Columbia Univ USA ",Arts - Writing ,,Assistant Professor ,
"Lee,Christopher James ","BA Brock; MA, Ph.D. ; ",School of Health Studies ,,Associate Professor ,
"Lee,David Shing Chung ",FRCPCan MBBS at LONDON ; BA at OXFORD ,Paediatrics ,,Associate Professor/MD ,
"Lee,Donald H. ",FRCPCan MBBCh at WITWATERSRAN ,Department of Medical Imaging ,,Professor Emeritus ,
"Lee,Dong-Yul Y ","BA Korea, Ph.D. BC ",Education - Office of the Dean ,,Professor Emeritus ,
"Lee,F Joseph ",BS MD at Western ,Family Medicine - General ,,Adjunct/MD ,
"Lee,Felix S. ","BSc Manitoba; MSc, Ph.D. Dalhousie ",Chemistry ,,Assistant Professor ,
"Lee,Jeoung Hee ","BA/MA USA, MA Columbia Univ USA ",Modern Languages & Literatures ,,Assistant Professor ,
"Lee,Joanne Marilyn ",BSW Western ,Psychiatry ,,Lecturer ,
